pokedex_number,name,generation,is_legendary,classification,type1,type2,height_m,weight_kg,ability_1,ability_2,ability_hidden,base_total,hp,attack,defense,sp_attack,sp_defense,speed,capture_rate,base_happiness,experience_growth,percentage_male,base_egg_steps
155,Cyndaquil,2,0,Fire Mouse Pokémon,Fire,,0.5,7.9,Blaze,,Flash Fire,309,39,52,43,60,50,65,45,70,1059860,88.1,5120
156,Quilava,2,0,Volcano Pokémon,Fire,,0.9,19,Blaze,,Flash Fire,405,58,64,58,80,65,80,45,70,1059860,88.1,5120
157,Typhlosion,2,0,Volcano Pokémon,Fire,,1.7,79.5,Blaze,,Flash Fire,534,78,84,78,109,85,100,45,70,1059860,88.1,5120
158,Totodile,2,0,Big Jaw Pokémon,Water,,0.6,9.5,Torrent,,Sheer Force,314,50,65,64,44,48,43,45,70,1059860,88.1,5120
159,Croconaw,2,0,Big Jaw Pokémon,Water,,1.1,25,Torrent,,Sheer Force,405,65,80,80,59,63,58,45,70,1059860,88.1,5120
160,Feraligatr,2,0,Big Jaw Pokémon,Water,,2.3,88.8,Torrent,,Sheer Force,530,85,105,100,79,83,78,45,70,1059860,88.1,5120
161,Sentret,2,0,Scout Pokémon,Normal,,0.8,6,Run Away,Keen Eye,Frisk,215,35,46,34,35,45,20,255,70,1000000,50,3840
162,Furret,2,0,Long Body Pokémon,Normal,,1.8,32.5,Run Away,Keen Eye,Frisk,415,85,76,64,45,55,90,90,70,1000000,50,3840
163,Hoothoot,2,0,Owl Pokémon,Normal,Flying,0.7,21.2,Insomnia,Keen Eye,Tinted Lens,262,60,30,30,36,56,50,255,70,1000000,50,3840
164,Noctowl,2,0,Owl Pokémon,Normal,Flying,1.6,40.8,Insomnia,Keen Eye,Tinted Lens,452,100,50,50,86,96,70,90,70,1000000,50,3840
165,Ledyba,2,0,Five Star Pokémon,Bug,Flying,1,10.8,Swarm,Early Bird,Rattled,265,40,20,30,40,80,55,255,70,800000,50,3840
166,Ledian,2,0,Five Star Pokémon,Bug,Flying,1.4,35.6,Swarm,Early Bird,Iron Fist,390,55,35,50,55,110,85,90,70,800000,50,3840
167,Spinarak,2,0,String Spit Pokémon,Bug,Poison,0.5,8.5,Swarm,Insomnia,Sniper,250,40,60,40,40,40,30,255,70,800000,50,3840
168,Ariados,2,0,Long Leg Pokémon,Bug,Poison,1.1,33.5,Swarm,Insomnia,Sniper,400,70,90,70,60,70,40,90,70,800000,50,3840
169,Crobat,2,0,Bat Pokémon,Poison,Flying,1.8,75,Inner Focus,,Infiltrator,535,85,90,80,70,80,130,90,70,1000000,50,3840
170,Chinchou,2,0,Angler Pokémon,Water,Electric,0.5,12,Volt Absorb,Illuminate,Water Absorb,330,75,38,38,56,56,67,190,70,1250000,50,5120
171,Lanturn,2,0,Light Pokémon,Water,Electric,1.2,22.5,Volt Absorb,Illuminate,Water Absorb,460,125,58,58,76,76,67,75,70,1250000,50,5120
172,Pichu,2,0,Tiny Mouse Pokémon,Electric,,0.3,2,Static,,Lightning Rod,205,20,40,15,35,35,60,190,70,1000000,50,2560
173,Cleffa,2,0,Star Shape Pokémon,Fairy,,0.3,3,Cute Charm,Magic Guard,Friend Guard,218,50,25,28,45,55,15,150,140,800000,24.6,2560
174,Igglybuff,2,0,Balloon Pokémon,Normal,Fairy,0.3,1,Cute Charm,Competitive,Friend Guard,210,90,30,15,40,20,15,170,70,800000,24.6,2560
175,Togepi,2,0,Spike Ball Pokémon,Fairy,,0.3,1.5,Hustle,Serene Grace,Super Luck,245,35,20,65,40,65,20,190,70,800000,88.1,2560
176,Togetic,2,0,Happiness Pokémon,Fairy,Flying,0.6,3.2,Hustle,Serene Grace,Super Luck,405,55,40,85,80,105,40,75,70,800000,88.1,2560
177,Natu,2,0,Tiny Bird Pokémon,Psychic,Flying,0.2,2,Synchronize,Early Bird,Magic Bounce,320,40,50,45,70,45,70,190,70,1000000,50,5120
178,Xatu,2,0,Mystic Pokémon,Psychic,Flying,1.5,15,Synchronize,Early Bird,Magic Bounce,470,65,75,70,95,70,95,75,70,1000000,50,5120
179,Mareep,2,0,Wool Pokémon,Electric,,0.6,7.8,Static,,Plus,280,55,40,40,65,45,35,235,70,1059860,50,5120
180,Flaaffy,2,0,Wool Pokémon,Electric,,0.8,13.3,Static,,Plus,365,70,55,55,80,60,45,120,70,1059860,50,5120
181,Ampharos,2,0,Light Pokémon,Electric,,1.4,61.5,Static,,Plus,510,90,75,85,115,90,55,45,70,1059860,50,5120
182,Bellossom,2,0,Flower Pokémon,Grass,,0.4,5.8,Chlorophyll,,Healer,490,75,80,95,90,100,50,45,70,1059860,50,5120
183,Marill,2,0,Aqua Mouse Pokémon,Water,Fairy,0.4,8.5,Thick Fat,Huge Power,Sap Sipper,250,70,20,50,20,50,40,190,70,800000,50,2560
184,Azumarill,2,0,Aqua Rabbit Pokémon,Water,Fairy,0.8,28.5,Thick Fat,Huge Power,Sap Sipper,420,100,50,80,60,80,50,75,70,800000,50,2560
185,Sudowoodo,2,0,Imitation Pokémon,Rock,,1.2,38,Sturdy,Rock Head,Rattled,410,70,100,115,30,65,30,65,70,1000000,50,5120
186,Politoed,2,0,Frog Pokémon,Water,,1.1,33.9,Water Absorb,Damp,Drizzle,500,90,75,75,90,100,70,45,70,1059860,50,5120
187,Hoppip,2,0,Cottonweed Pokémon,Grass,Flying,0.4,0.5,Chlorophyll,Leaf Guard,Infiltrator,250,35,35,40,35,55,50,255,70,1059860,50,5120
188,Skiploom,2,0,Cottonweed Pokémon,Grass,Flying,0.6,1,Chlorophyll,Leaf Guard,Infiltrator,340,55,45,50,45,65,80,120,70,1059860,50,5120
189,Jumpluff,2,0,Cottonweed Pokémon,Grass,Flying,0.8,3,Chlorophyll,Leaf Guard,Infiltrator,460,75,55,70,55,95,110,45,70,1059860,50,5120
190,Aipom,2,0,Long Tail Pokémon,Normal,,0.8,11.5,Run Away,Pickup,Skill Link,360,55,70,55,40,55,85,45,70,800000,50,5120
191,Sunkern,2,0,Seed Pokémon,Grass,,0.3,1.8,Chlorophyll,Solar Power,Early Bird,180,30,30,30,30,30,30,235,70,1059860,50,5120
192,Sunflora,2,0,Sun Pokémon,Grass,,0.8,8.5,Chlorophyll,Solar Power,Early Bird,425,75,75,55,105,85,30,120,70,1059860,50,5120
193,Yanma,2,0,Clear Wing Pokémon,Bug,Flying,1.2,38,Speed Boost,Compound Eyes,Frisk,390,65,65,45,75,45,95,75,70,1000000,50,5120
194,Wooper,2,0,Water Fish Pokémon,Water,Ground,0.4,8.5,Damp,Water Absorb,Unaware,210,55,45,45,25,25,15,255,70,1000000,50,5120
195,Quagsire,2,0,Water Fish Pokémon,Water,Ground,1.4,75,Damp,Water Absorb,Unaware,430,95,85,85,65,65,35,90,70,1000000,50,5120
196,Espeon,2,0,Sun Pokémon,Psychic,,0.9,26.5,Synchronize,,Magic Bounce,525,65,65,60,130,95,110,45,70,1000000,88.1,8960
197,Umbreon,2,0,Moonlight Pokémon,Dark,,1,27,Synchronize,,Inner Focus,525,95,65,110,60,130,65,45,35,1000000,88.1,8960
198,Murkrow,2,0,Darkness Pokémon,Dark,Flying,0.5,2.1,Insomnia,Super Luck,Prankster,405,60,85,42,85,42,91,30,35,1059860,50,5120
199,Slowking,2,0,Royal Pokémon,Water,Psychic,2,79.5,Oblivious,Own Tempo,Regenerator,490,95,75,80,100,110,30,70,70,1000000,50,5120
200,Misdreavus,2,0,Screech Pokémon,Ghost,,0.7,1,Levitate,,,435,60,60,60,85,85,85,45,35,800000,50,6400
201,Unown,2,0,Symbol Pokémon,Psychic,,0.5,5,Levitate,,,336,48,72,48,72,48,48,225,70,1000000,Genderless,10240
202,Wobbuffet,2,0,Patient Pokémon,Psychic,,1.3,28.5,Shadow Tag,,Telepathy,405,190,33,58,33,58,33,45,70,1000000,50,5120
203,Girafarig,2,0,Long Neck Pokémon,Normal,Psychic,1.5,41.5,Inner Focus,Early Bird,Sap Sipper,455,70,80,65,90,65,85,60,70,1000000,50,5120
204,Pineco,2,0,Bagworm Pokémon,Bug,,0.6,7.2,Sturdy,,Overcoat,290,50,65,90,35,35,15,190,70,1000000,50,5120
205,Forretress,2,0,Bagworm Pokémon,Bug,Steel,1.2,125.8,Sturdy,,Overcoat,465,75,90,140,60,60,40,75,70,1000000,50,5120
206,Dunsparce,2,0,Land Snake Pokémon,Normal,,1.5,14,Serene Grace,Run Away,Rattled,415,100,70,70,65,65,45,190,70,1000000,50,5120
207,Gligar,2,0,FlyScorpion Pokémon,Ground,Flying,1.1,64.8,Hyper Cutter,Sand Veil,Immunity,430,65,75,105,35,65,85,60,70,1059860,50,5120
208,Steelix,2,0,Iron Snake Pokémon,Steel,Ground,9.2,400,Rock Head,Sturdy,Sheer Force,510,75,85,200,55,65,30,25,70,1000000,50,6400
209,Snubbull,2,0,Fairy Pokémon,Fairy,,0.6,7.8,Intimidate,Run Away,Rattled,300,60,80,50,40,40,30,190,70,800000,24.6,5120
210,Granbull,2,0,Fairy Pokémon,Fairy,,1.4,48.7,Intimidate,Quick Feet,Rattled,450,90,120,75,60,60,45,75,70,800000,24.6,5120
211,Qwilfish,2,0,Balloon Pokémon,Water,Poison,0.5,3.9,Poison Point,Swift Swim,Intimidate,440,65,95,85,55,55,85,45,70,1000000,50,5120
212,Scizor,2,0,Pincer Pokémon,Bug,Steel,1.8,118,Swarm,Technician,Light Metal,500,70,130,100,55,80,65,25,70,1000000,50,6400
213,Shuckle,2,0,Mold Pokémon,Bug,Rock,0.6,20.5,Sturdy,Gluttony,Contrary,505,20,10,230,10,230,5,190,70,1059860,50,5120
214,Heracross,2,0,Single Horn Pokémon,Bug,Fighting,1.5,54,Swarm,Guts,Moxie,500,80,125,75,40,95,85,45,70,1250000,50,6400
215,Sneasel,2,0,Sharp Claw Pokémon,Dark,Ice,0.9,28,Inner Focus,Keen Eye,Pickpocket,430,55,95,55,35,75,115,60,35,1059860,50,5120
216,Teddiursa,2,0,Little Bear Pokémon,Normal,,0.6,8.8,Pickup,Quick Feet,Honey Gather,330,60,80,50,50,50,40,120,70,1000000,50,5120
217,Ursaring,2,0,Hibernator Pokémon,Normal,,1.8,125.8,Guts,Quick Feet,Unnerve,500,90,130,75,75,75,55,60,70,1000000,50,5120
218,Slugma,2,0,Lava Pokémon,Fire,,0.7,35,Magma Armor,Flame Body,Weak Armor,250,40,40,40,70,40,20,190,70,1000000,50,5120
219,Magcargo,2,0,Lava Pokémon,Fire,Rock,0.8,55,Magma Armor,Flame Body,Weak Armor,430,60,50,120,90,80,30,75,70,1000000,50,5120
220,Swinub,2,0,Pig Pokémon,Ice,Ground,0.4,6.5,Oblivious,Snow Cloak,Thick Fat,250,50,50,40,30,30,50,225,70,1250000,50,5120
221,Piloswine,2,0,Swine Pokémon,Ice,Ground,1.1,55.8,Oblivious,Snow Cloak,Thick Fat,450,100,100,80,60,60,50,75,70,1250000,50,5120
222,Corsola,2,0,Coral Pokémon,Water,Rock,0.6,5,Hustle,Natural Cure,Regenerator,410,65,55,95,65,95,35,60,70,800000,24.6,5120
223,Remoraid,2,0,Jet Pokémon,Water,,0.6,12,Hustle,Sniper,Moody,300,35,65,35,65,35,65,190,70,1000000,50,5120
224,Octillery,2,0,Jet Pokémon,Water,,0.9,28.5,Suction Cups,Sniper,Moody,480,75,105,75,105,75,45,75,70,1000000,50,5120
225,Delibird,2,0,Delivery Pokémon,Ice,Flying,0.9,16,Vital Spirit,Hustle,Insomnia,330,45,55,45,65,45,75,45,70,800000,50,5120
226,Mantine,2,0,Kite Pokémon,Water,Flying,2.1,220,Swift Swim,Water Absorb,Water Veil,485,85,40,70,80,140,70,25,70,1250000,50,6400
227,Skarmory,2,0,Armor Bird Pokémon,Steel,Flying,1.7,50.5,Keen Eye,Sturdy,Weak Armor,465,65,80,140,40,70,70,25,70,1250000,50,6400
228,Houndour,2,0,Dark Pokémon,Dark,Fire,0.6,10.8,Early Bird,Flash Fire,Unnerve,330,45,60,30,80,50,65,120,35,1250000,50,5120
229,Houndoom,2,0,Dark Pokémon,Dark,Fire,1.4,35,Early Bird,Flash Fire,Unnerve,500,75,90,50,110,80,95,45,35,1250000,50,5120
230,Kingdra,2,0,Dragon Pokémon,Water,Dragon,1.8,152,Swift Swim,Sniper,Damp,540,75,95,95,95,95,85,45,70,1000000,50,5120
231,Phanpy,2,0,Long Nose Pokémon,Ground,,0.5,33.5,Pickup,,Sand Veil,330,90,60,60,40,40,40,120,70,1000000,50,5120
232,Donphan,2,0,Armor Pokémon,Ground,,1.1,120,Sturdy,,Sand Veil,500,90,120,120,60,60,50,60,70,1000000,50,5120
233,Porygon2,2,0,Virtual Pokémon,Normal,,0.6,32.5,Trace,Download,Analytic,515,85,80,90,105,95,60,45,70,1000000,Genderless,5120
234,Stantler,2,0,Big Horn Pokémon,Normal,,1.4,71.2,Intimidate,Frisk,Sap Sipper,465,73,95,62,85,65,85,45,70,1250000,50,5120
235,Smeargle,2,0,Painter Pokémon,Normal,,1.2,58,Own Tempo,Technician,Moody,250,55,20,35,20,45,75,45,70,800000,50,5120
236,Tyrogue,2,0,Scuffle Pokémon,Fighting,,0.7,21,Guts,Steadfast,Vital Spirit,210,35,35,35,35,35,35,75,70,1000000,100,6400
237,Hitmontop,2,0,Handstand Pokémon,Fighting,,1.4,48,Intimidate,Technician,Steadfast,455,50,95,95,35,110,70,45,70,1000000,100,6400
238,Smoochum,2,0,Kiss Pokémon,Ice,Psychic,0.4,6,Oblivious,Forewarn,Hydration,305,45,30,15,85,65,65,45,70,1000000,0,6400
239,Elekid,2,0,Electric Pokémon,Electric,,0.6,23.5,Static,,Vital Spirit,360,45,63,37,65,55,95,45,70,1000000,75.4,6400
240,Magby,2,0,Live Coal Pokémon,Fire,,0.7,21.4,Flame Body,,Vital Spirit,365,45,75,37,70,55,83,45,70,1000000,75.4,6400
241,Miltank,2,0,Milk Cow Pokémon,Normal,,1.2,75.5,Thick Fat,Scrappy,Sap Sipper,490,95,80,105,40,70,100,45,70,1250000,0,5120
242,Blissey,2,0,Happiness Pokémon,Normal,,1.5,46.8,Natural Cure,Serene Grace,Healer,540,255,10,10,75,135,55,30,140,800000,0,10240
243,Raikou,2,1,Thunder Pokémon,Electric,,1.9,178,Pressure,,Inner Focus,580,90,85,75,115,100,115,3,35,1250000,Genderless,20480
244,Entei,2,1,Volcano Pokémon,Fire,,2.1,198,Pressure,,Inner Focus,580,115,115,85,90,75,100,3,35,1250000,Genderless,20480
245,Suicune,2,1,Aurora Pokémon,Water,,2,187,Pressure,,Inner Focus,580,100,75,115,90,115,85,3,35,1250000,Genderless,20480
246,Larvitar,2,0,Rock Skin Pokémon,Rock,Ground,0.6,72,Guts,,Sand Veil,300,50,64,50,45,50,41,45,35,1250000,50,10240
247,Pupitar,2,0,Hard Shell Pokémon,Rock,Ground,1.2,152,Shed Skin,,,410,70,84,70,65,70,51,45,35,1250000,50,10240
248,Tyranitar,2,0,Armor Pokémon,Rock,Dark,2,202,Sand Stream,,Unnerve,600,100,134,110,95,100,61,45,35,1250000,50,10240
249,Lugia,2,1,Diving Pokémon,Psychic,Flying,5.2,216,Pressure,,Multiscale,680,106,90,130,90,154,110,3,0,1250000,Genderless,30720
250,Ho-oh,2,1,Rainbow Pokémon,Fire,Flying,3.8,199,Pressure,,Regenerator,680,106,130,90,110,154,90,3,0,1250000,Genderless,30720
251,Celebi,2,1,Time Travel Pokémon,Psychic,Grass,0.6,5,Natural Cure,,,600,100,100,100,100,100,100,45,100,1059860,Genderless,30720
252,Treecko,3,0,Wood Gecko Pokémon,Grass,,0.5,5,Overgrow,,Unburden,310,40,45,35,65,55,70,45,70,1059860,88.1,5120
253,Grovyle,3,0,Wood Gecko Pokémon,Grass,,0.9,21.6,Overgrow,,Unburden,405,50,65,45,85,65,95,45,70,1059860,88.1,5120
254,Sceptile,3,0,Forest Pokémon,Grass,,1.7,52.2,Overgrow,,Unburden,530,70,85,65,105,85,120,45,70,1059860,88.1,5120
255,Torchic,3,0,Chick Pokémon,Fire,,0.4,2.5,Blaze,,Speed Boost,310,45,60,40,70,50,45,45,70,1059860,88.1,5120
256,Combusken,3,0,Young Fowl Pokémon,Fire,Fighting,0.9,19.5,Blaze,,Speed Boost,405,60,85,60,85,60,55,45,70,1059860,88.1,5120
257,Blaziken,3,0,Blaze Pokémon,Fire,Fighting,1.9,52,Blaze,,Speed Boost,530,80,120,70,110,70,80,45,70,1059860,88.1,5120
258,Mudkip,3,0,Mud Fish Pokémon,Water,,0.4,7.6,Torrent,,Damp,310,50,70,50,50,50,40,45,70,1059860,88.1,5120
259,Marshtomp,3,0,Mud Fish Pokémon,Water,Ground,0.7,28,Torrent,,Damp,405,70,85,70,60,70,50,45,70,1059860,88.1,5120
260,Swampert,3,0,Mud Fish Pokémon,Water,Ground,1.5,81.9,Torrent,,Damp,535,100,110,90,85,90,60,45,70,1059860,88.1,5120
261,Poochyena,3,0,Bite Pokémon,Dark,,0.5,13.6,Run Away,Quick Feet,Rattled,220,35,55,35,30,30,35,255,70,1000000,50,3840
262,Mightyena,3,0,Bite Pokémon,Dark,,1,37,Intimidate,Quick Feet,Moxie,420,70,90,70,60,60,70,127,70,1000000,50,3840
263,Zigzagoon,3,0,TinyRaccoon Pokémon,Normal,,0.4,17.5,Pickup,Gluttony,Quick Feet,240,38,30,41,30,41,60,255,70,1000000,50,3840
264,Linoone,3,0,Rushing Pokémon,Normal,,0.5,32.5,Pickup,Gluttony,Quick Feet,420,78,70,61,50,61,100,90,70,1000000,50,3840
265,Wurmple,3,0,Worm Pokémon,Bug,,0.3,3.6,Shield Dust,,Run Away,195,45,45,35,20,30,20,255,70,1000000,50,3840
266,Silcoon,3,0,Cocoon Pokémon,Bug,,0.6,10,Shed Skin,,,205,50,35,55,25,25,15,120,70,1000000,50,3840
267,Beautifly,3,0,Butterfly Pokémon,Bug,Flying,1,28.4,Swarm,,Rivalry,395,60,70,50,100,50,65,45,70,1000000,50,3840
268,Cascoon,3,0,Cocoon Pokémon,Bug,,0.7,11.5,Shed Skin,,,205,50,35,55,25,25,15,120,70,1000000,50,3840
269,Dustox,3,0,Poison Moth Pokémon,Bug,Poison,1.2,31.6,Shield Dust,,Compound Eyes,385,60,50,70,50,90,65,45,70,1000000,50,3840
270,Lotad,3,0,Water Weed Pokémon,Water,Grass,0.5,2.6,Swift Swim,Rain Dish,Own Tempo,220,40,30,30,40,50,30,255,70,1059860,50,3840
271,Lombre,3,0,Jolly Pokémon,Water,Grass,1.2,32.5,Swift Swim,Rain Dish,Own Tempo,340,60,50,50,60,70,50,120,70,1059860,50,3840
272,Ludicolo,3,0,Carefree Pokémon,Water,Grass,1.5,55,Swift Swim,Rain Dish,Own Tempo,480,80,70,70,90,100,70,45,70,1059860,50,3840
273,Seedot,3,0,Acorn Pokémon,Grass,,0.5,4,Chlorophyll,Early Bird,Pickpocket,220,40,40,50,30,30,30,255,70,1059860,50,3840
274,Nuzleaf,3,0,Wily Pokémon,Grass,Dark,1,28,Chlorophyll,Early Bird,Pickpocket,340,70,70,40,60,40,60,120,70,1059860,50,3840
275,Shiftry,3,0,Wicked Pokémon,Grass,Dark,1.3,59.6,Chlorophyll,Early Bird,Pickpocket,480,90,100,60,90,60,80,45,70,1059860,50,3840
276,Taillow,3,0,TinySwallow Pokémon,Normal,Flying,0.3,2.3,Guts,,Scrappy,270,40,55,30,30,30,85,200,70,1059860,50,3840
277,Swellow,3,0,Swallow Pokémon,Normal,Flying,0.7,19.8,Guts,,Scrappy,455,60,85,60,75,50,125,45,70,1059860,50,3840
278,Wingull,3,0,Seagull Pokémon,Water,Flying,0.6,9.5,Keen Eye,Hydration,Rain Dish,270,40,30,30,55,30,85,190,70,1000000,50,5120
279,Pelipper,3,0,Water Bird Pokémon,Water,Flying,1.2,28,Keen Eye,Drizzle,Rain Dish,440,60,50,100,95,70,65,45,70,1000000,50,5120
280,Ralts,3,0,Feeling Pokémon,Psychic,Fairy,0.4,6.6,Synchronize,Trace,Telepathy,198,28,25,25,45,35,40,235,35,1250000,50,5120
281,Kirlia,3,0,Emotion Pokémon,Psychic,Fairy,0.8,20.2,Synchronize,Trace,Telepathy,278,38,35,35,65,55,50,120,35,1250000,50,5120
282,Gardevoir,3,0,Embrace Pokémon,Psychic,Fairy,1.6,48.4,Synchronize,Trace,Telepathy,518,68,65,65,125,115,80,45,35,1250000,50,5120
283,Surskit,3,0,Pond Skater Pokémon,Bug,Water,0.5,1.7,Swift Swim,,Rain Dish,269,40,30,32,50,52,65,200,70,1000000,50,3840
284,Masquerain,3,0,Eyeball Pokémon,Bug,Flying,0.8,3.6,Intimidate,,Unnerve,454,70,60,62,100,82,80,75,70,1000000,50,3840
285,Shroomish,3,0,Mushroom Pokémon,Grass,,0.4,4.5,Effect Spore,Poison Heal,Quick Feet,295,60,40,60,40,60,35,255,70,1640000,50,3840
286,Breloom,3,0,Mushroom Pokémon,Grass,Fighting,1.2,39.2,Effect Spore,Poison Heal,Technician,460,60,130,80,60,60,70,90,70,1640000,50,3840
287,Slakoth,3,0,Slacker Pokémon,Normal,,0.8,24,Truant,,,280,60,60,60,35,35,30,255,70,1250000,50,3840
288,Vigoroth,3,0,Wild Monkey Pokémon,Normal,,1.4,46.5,Vital Spirit,,,440,80,80,80,55,55,90,120,70,1250000,50,3840
289,Slaking,3,0,Lazy Pokémon,Normal,,2,130.5,Truant,,,670,150,160,100,95,65,100,45,70,1250000,50,3840
290,Nincada,3,0,Trainee Pokémon,Bug,Ground,0.5,5.5,Compound Eyes,,Run Away,266,31,45,90,30,30,40,255,70,600000,50,3840
291,Ninjask,3,0,Ninja Pokémon,Bug,Flying,0.8,12,Speed Boost,,Infiltrator,456,61,90,45,50,50,160,120,70,600000,50,3840
292,Shedinja,3,0,Shed Pokémon,Bug,Ghost,0.8,1.2,Wonder Guard,,,236,1,90,45,30,30,40,45,70,600000,Genderless,3840
293,Whismur,3,0,Whisper Pokémon,Normal,,0.6,16.3,Soundproof,,Rattled,240,64,51,23,51,23,28,190,70,1059860,50,5120
294,Loudred,3,0,Big Voice Pokémon,Normal,,1,40.5,Soundproof,,Scrappy,360,84,71,43,71,43,48,120,70,1059860,50,5120
295,Exploud,3,0,Loud Noise Pokémon,Normal,,1.5,84,Soundproof,,Scrappy,490,104,91,63,91,73,68,45,70,1059860,50,5120
296,Makuhita,3,0,Guts Pokémon,Fighting,,1,86.4,Thick Fat,Guts,Sheer Force,237,72,60,30,20,30,25,180,70,1640000,75.4,5120
297,Hariyama,3,0,Arm Thrust Pokémon,Fighting,,2.3,253.8,Thick Fat,Guts,Sheer Force,474,144,120,60,40,60,50,200,70,1640000,75.4,5120
298,Azurill,3,0,Polka Dot Pokémon,Normal,Fairy,0.2,2,Thick Fat,Huge Power,Sap Sipper,190,50,20,40,20,40,20,150,70,800000,24.6,2560
299,Nosepass,3,0,Compass Pokémon,Rock,,1,97,Sturdy,Magnet Pull,Sand Force,375,30,45,135,45,90,30,255,70,1000000,50,5120
300,Skitty,3,0,Kitten Pokémon,Normal,,0.6,11,Cute Charm,Normalize,Wonder Skin,260,50,45,45,35,35,50,255,70,800000,24.6,3840
301,Delcatty,3,0,Prim Pokémon,Normal,,1.1,32.6,Cute Charm,Normalize,Wonder Skin,400,70,65,65,55,55,90,60,70,800000,24.6,3840
302,Sableye,3,0,Darkness Pokémon,Dark,Ghost,0.5,11,Keen Eye,Stall,Prankster,380,50,75,75,65,65,50,45,35,1059860,50,6400
303,Mawile,3,0,Deceiver Pokémon,Steel,Fairy,0.6,11.5,Hyper Cutter,Intimidate,Sheer Force,380,50,85,85,55,55,50,45,70,800000,50,5120
304,Aron,3,0,Iron Armor Pokémon,Steel,Rock,0.4,60,Sturdy,Rock Head,Heavy Metal,330,50,70,100,40,40,30,180,35,1250000,50,8960
305,Lairon,3,0,Iron Armor Pokémon,Steel,Rock,0.9,120,Sturdy,Rock Head,Heavy Metal,430,60,90,140,50,50,40,90,35,1250000,50,8960
306,Aggron,3,0,Iron Armor Pokémon,Steel,Rock,2.1,360,Sturdy,Rock Head,Heavy Metal,530,70,110,180,60,60,50,45,35,1250000,50,8960
307,Meditite,3,0,Meditate Pokémon,Fighting,Psychic,0.6,11.2,Pure Power,,Telepathy,280,30,40,55,40,55,60,180,70,1000000,50,5120
308,Medicham,3,0,Meditate Pokémon,Fighting,Psychic,1.3,31.5,Pure Power,,Telepathy,410,60,60,75,60,75,80,90,70,1000000,50,5120
309,Electrike,3,0,Lightning Pokémon,Electric,,0.6,15.2,Static,Lightning Rod,Minus,295,40,45,40,65,40,65,120,70,1250000,50,5120
310,Manectric,3,0,Discharge Pokémon,Electric,,1.5,40.2,Static,Lightning Rod,Minus,475,70,75,60,105,60,105,45,70,1250000,50,5120
311,Plusle,3,0,Cheering Pokémon,Electric,,0.4,4.2,Plus,,Lightning Rod,405,60,50,40,85,75,95,200,70,1000000,50,5120
312,Minun,3,0,Cheering Pokémon,Electric,,0.4,4.2,Minus,,Volt Absorb,405,60,40,50,75,85,95,200,70,1000000,50,5120
313,Volbeat,3,0,Firefly Pokémon,Bug,,0.7,17.7,Illuminate,Swarm,Prankster,430,65,73,75,47,85,85,150,70,600000,100,3840
314,Illumise,3,0,Firefly Pokémon,Bug,,0.6,17.7,Oblivious,Tinted Lens,Prankster,430,65,47,75,73,85,85,150,70,1640000,0,3840
315,Roselia,3,0,Thorn Pokémon,Grass,Poison,0.3,2,Natural Cure,Poison Point,Leaf Guard,400,50,60,45,100,80,65,150,70,1059860,50,5120
316,Gulpin,3,0,Stomach Pokémon,Poison,,0.4,10.3,Liquid Ooze,Sticky Hold,Gluttony,302,70,43,53,43,53,40,225,70,1640000,50,5120
317,Swalot,3,0,Poison Bag Pokémon,Poison,,1.7,80,Liquid Ooze,Sticky Hold,Gluttony,467,100,73,83,73,83,55,75,70,1640000,50,5120
318,Carvanha,3,0,Savage Pokémon,Water,Dark,0.8,20.8,Rough Skin,,Speed Boost,305,45,90,20,65,20,65,225,35,1250000,50,5120
319,Sharpedo,3,0,Brutal Pokémon,Water,Dark,1.8,88.8,Rough Skin,,Speed Boost,460,70,120,40,95,40,95,60,35,1250000,50,5120
320,Wailmer,3,0,Ball Whale Pokémon,Water,,2,130,Water Veil,Oblivious,Pressure,400,130,70,35,70,35,60,125,70,1640000,50,10240
321,Wailord,3,0,Float Whale Pokémon,Water,,14.5,398,Water Veil,Oblivious,Pressure,500,170,90,45,90,45,60,60,70,1640000,50,10240
322,Numel,3,0,Numb Pokémon,Fire,Ground,0.7,24,Oblivious,Simple,Own Tempo,305,60,60,40,65,45,35,255,70,1000000,50,5120
323,Camerupt,3,0,Eruption Pokémon,Fire,Ground,1.9,220,Magma Armor,Solid Rock,Anger Point,460,70,100,70,105,75,40,150,70,1000000,50,5120
324,Torkoal,3,0,Coal Pokémon,Fire,,0.5,80.4,White Smoke,Drought,Shell Armor,470,70,85,140,85,70,20,90,70,1000000,50,5120
325,Spoink,3,0,Bounce Pokémon,Psychic,,0.7,30.6,Thick Fat,Own Tempo,Gluttony,330,60,25,35,70,80,60,255,70,800000,50,5120
326,Grumpig,3,0,Manipulate Pokémon,Psychic,,0.9,71.5,Thick Fat,Own Tempo,Gluttony,470,80,45,65,90,110,80,60,70,800000,50,5120
327,Spinda,3,0,Spot Panda Pokémon,Normal,,1.1,5,Own Tempo,Tangled Feet,Contrary,360,60,60,60,60,60,60,255,70,800000,50,3840
328,Trapinch,3,0,Ant Pit Pokémon,Ground,,0.7,15,Hyper Cutter,Arena Trap,Sheer Force,290,45,100,45,45,45,10,255,70,1059860,50,5120
329,Vibrava,3,0,Vibration Pokémon,Ground,Dragon,1.1,15.3,Levitate,,,340,50,70,50,50,50,70,120,70,1059860,50,5120
